image_name,vulnerability_id,package_name,installed_version,fixed_version,severity,cvss_v3
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2019-18276,bash,4.4.18-2ubuntu1.2,4.4.18-2ubuntu1.3,LOW,7.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-23491,ca-certificates,20210119~18.04.1,20211016ubuntu0.18.04.1,MEDIUM,7.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2017-9525,cron,3.0pl1-128.1ubuntu1,3.0pl1-128.1ubuntu1.2,LOW,6.7
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2019-9704,cron,3.0pl1-128.1ubuntu1,3.0pl1-128.1ubuntu1.1,LOW,5.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2019-9705,cron,3.0pl1-128.1ubuntu1,3.0pl1-128.1ubuntu1.1,LOW,5.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2019-9706,cron,3.0pl1-128.1ubuntu1,3.0pl1-128.1ubuntu1.1,LOW,5.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2021-22924,curl,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.14,MEDIUM,3.7
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2021-22925,curl,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.14,MEDIUM,5.3
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2021-22946,curl,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.15,MEDIUM,7.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2021-22947,curl,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.15,MEDIUM,5.9
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-22576,curl,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.17,MEDIUM,8.1
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-27774,curl,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.17,MEDIUM,5.7
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-27782,curl,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.18,MEDIUM,7.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-32206,curl,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.19,MEDIUM,6.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-32208,curl,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.19,MEDIUM,5.9
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-32221,curl,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.21,MEDIUM,9.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-43552,curl,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.22,MEDIUM,5.9
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2023-23916,curl,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.23,MEDIUM,6.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2023-27535,curl,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.24,MEDIUM,5.9
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2021-22898,curl,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.14,LOW,3.1
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-27776,curl,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.17,LOW,6.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-27781,curl,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.18,LOW,7.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-35252,curl,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.20,LOW,3.7
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2023-27533,curl,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.24,LOW,8.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2023-27534,curl,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.24,LOW,8.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2023-27536,curl,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.24,LOW,5.9
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2023-27538,curl,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.24,LOW,5.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-1664,dpkg,1.19.0.5ubuntu2.3,1.19.0.5ubuntu2.4,MEDIUM,9.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-1304,e2fsprogs,1.44.1-1ubuntu1.3,1.44.1-1ubuntu1.4,MEDIUM,7.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-34903,gpgv,2.2.4-1ubuntu1.4,2.2.4-1ubuntu1.6,MEDIUM,6.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2019-13050,gpgv,2.2.4-1ubuntu1.4,2.2.4-1ubuntu1.5,LOW,7.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-1271,gzip,1.6-5ubuntu1,1.6-5ubuntu1.2,MEDIUM,8.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2018-16860,libasn1-8-heimdal,7.5.0+dfsg-1,7.5.0+dfsg-1ubuntu0.1,MEDIUM,7.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2021-44758,libasn1-8-heimdal,7.5.0+dfsg-1,7.5.0+dfsg-1ubuntu0.3,MEDIUM,7.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-3116,libasn1-8-heimdal,7.5.0+dfsg-1,7.5.0+dfsg-1ubuntu0.1,MEDIUM,7.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-3437,libasn1-8-heimdal,7.5.0+dfsg-1,7.5.0+dfsg-1ubuntu0.3,MEDIUM,6.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-41916,libasn1-8-heimdal,7.5.0+dfsg-1,7.5.0+dfsg-1ubuntu0.2,MEDIUM,7.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-42898,libasn1-8-heimdal,7.5.0+dfsg-1,7.5.0+dfsg-1ubuntu0.3,MEDIUM,8.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-44640,libasn1-8-heimdal,7.5.0+dfsg-1,7.5.0+dfsg-1ubuntu0.3,MEDIUM,9.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-45142,libasn1-8-heimdal,7.5.0+dfsg-1,7.5.0+dfsg-1ubuntu0.4,MEDIUM,7.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2019-12098,libasn1-8-heimdal,7.5.0+dfsg-1,7.5.0+dfsg-1ubuntu0.1,LOW,7.4
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2021-3671,libasn1-8-heimdal,7.5.0+dfsg-1,7.5.0+dfsg-1ubuntu0.1,LOW,6.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2021-3672,libc-ares2,1.14.0-1,1.14.0-1ubuntu0.1,MEDIUM,5.6
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-4904,libc-ares2,1.14.0-1,1.14.0-1ubuntu0.2,MEDIUM,8.6
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2021-3999,libc-bin,2.27-3ubuntu1.4,2.27-3ubuntu1.5,MEDIUM,7.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2016-10228,libc-bin,2.27-3ubuntu1.4,2.27-3ubuntu1.5,LOW,5.9
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2019-25013,libc-bin,2.27-3ubuntu1.4,2.27-3ubuntu1.5,LOW,5.9
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2020-27618,libc-bin,2.27-3ubuntu1.4,2.27-3ubuntu1.5,LOW,5.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2020-29562,libc-bin,2.27-3ubuntu1.4,2.27-3ubuntu1.5,LOW,4.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2020-6096,libc-bin,2.27-3ubuntu1.4,2.27-3ubuntu1.5,LOW,8.1
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2021-3326,libc-bin,2.27-3ubuntu1.4,2.27-3ubuntu1.5,LOW,7.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2021-35942,libc-bin,2.27-3ubuntu1.4,2.27-3ubuntu1.5,LOW,9.1
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-23218,libc-bin,2.27-3ubuntu1.4,2.27-3ubuntu1.5,LOW,9.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-23219,libc-bin,2.27-3ubuntu1.4,2.27-3ubuntu1.5,LOW,9.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2021-3999,libc6,2.27-3ubuntu1.4,2.27-3ubuntu1.5,MEDIUM,7.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2016-10228,libc6,2.27-3ubuntu1.4,2.27-3ubuntu1.5,LOW,5.9
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2019-25013,libc6,2.27-3ubuntu1.4,2.27-3ubuntu1.5,LOW,5.9
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2020-27618,libc6,2.27-3ubuntu1.4,2.27-3ubuntu1.5,LOW,5.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2020-29562,libc6,2.27-3ubuntu1.4,2.27-3ubuntu1.5,LOW,4.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2020-6096,libc6,2.27-3ubuntu1.4,2.27-3ubuntu1.5,LOW,8.1
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2021-3326,libc6,2.27-3ubuntu1.4,2.27-3ubuntu1.5,LOW,7.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2021-35942,libc6,2.27-3ubuntu1.4,2.27-3ubuntu1.5,LOW,9.1
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-23218,libc6,2.27-3ubuntu1.4,2.27-3ubuntu1.5,LOW,9.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-23219,libc6,2.27-3ubuntu1.4,2.27-3ubuntu1.5,LOW,9.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-1304,libcom-err2,1.44.1-1ubuntu1.3,1.44.1-1ubuntu1.4,MEDIUM,7.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2021-22924,libcurl3-gnutls,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.14,MEDIUM,3.7
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2021-22925,libcurl3-gnutls,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.14,MEDIUM,5.3
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2021-22946,libcurl3-gnutls,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.15,MEDIUM,7.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2021-22947,libcurl3-gnutls,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.15,MEDIUM,5.9
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-22576,libcurl3-gnutls,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.17,MEDIUM,8.1
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-27774,libcurl3-gnutls,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.17,MEDIUM,5.7
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-27782,libcurl3-gnutls,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.18,MEDIUM,7.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-32206,libcurl3-gnutls,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.19,MEDIUM,6.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-32208,libcurl3-gnutls,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.19,MEDIUM,5.9
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-32221,libcurl3-gnutls,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.21,MEDIUM,9.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-43552,libcurl3-gnutls,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.22,MEDIUM,5.9
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2023-23916,libcurl3-gnutls,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.23,MEDIUM,6.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2023-27535,libcurl3-gnutls,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.24,MEDIUM,5.9
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2021-22898,libcurl3-gnutls,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.14,LOW,3.1
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-27776,libcurl3-gnutls,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.17,LOW,6.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-27781,libcurl3-gnutls,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.18,LOW,7.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-35252,libcurl3-gnutls,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.20,LOW,3.7
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2023-27533,libcurl3-gnutls,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.24,LOW,8.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2023-27534,libcurl3-gnutls,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.24,LOW,8.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2023-27536,libcurl3-gnutls,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.24,LOW,5.9
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2023-27538,libcurl3-gnutls,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.24,LOW,5.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2021-22924,libcurl4,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.14,MEDIUM,3.7
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2021-22925,libcurl4,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.14,MEDIUM,5.3
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2021-22946,libcurl4,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.15,MEDIUM,7.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2021-22947,libcurl4,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.15,MEDIUM,5.9
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-22576,libcurl4,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.17,MEDIUM,8.1
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-27774,libcurl4,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.17,MEDIUM,5.7
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-27782,libcurl4,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.18,MEDIUM,7.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-32206,libcurl4,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.19,MEDIUM,6.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-32208,libcurl4,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.19,MEDIUM,5.9
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-32221,libcurl4,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.21,MEDIUM,9.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-43552,libcurl4,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.22,MEDIUM,5.9
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2023-23916,libcurl4,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.23,MEDIUM,6.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2023-27535,libcurl4,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.24,MEDIUM,5.9
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2021-22898,libcurl4,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.14,LOW,3.1
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-27776,libcurl4,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.17,LOW,6.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-27781,libcurl4,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.18,LOW,7.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-35252,libcurl4,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.20,LOW,3.7
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2023-27533,libcurl4,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.24,LOW,8.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2023-27534,libcurl4,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.24,LOW,8.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2023-27536,libcurl4,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.24,LOW,5.9
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2023-27538,libcurl4,7.58.0-2ubuntu3.13,7.58.0-2ubuntu3.24,LOW,5.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-25235,libexpat1,2.2.5-3ubuntu0.2,2.2.5-3ubuntu0.4,HIGH,9.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-25236,libexpat1,2.2.5-3ubuntu0.2,2.2.5-3ubuntu0.4,HIGH,9.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2021-46143,libexpat1,2.2.5-3ubuntu0.2,2.2.5-3ubuntu0.4,MEDIUM,7.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-22822,libexpat1,2.2.5-3ubuntu0.2,2.2.5-3ubuntu0.4,MEDIUM,9.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-22823,libexpat1,2.2.5-3ubuntu0.2,2.2.5-3ubuntu0.4,MEDIUM,9.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-22824,libexpat1,2.2.5-3ubuntu0.2,2.2.5-3ubuntu0.4,MEDIUM,9.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-22825,libexpat1,2.2.5-3ubuntu0.2,2.2.5-3ubuntu0.4,MEDIUM,8.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-22826,libexpat1,2.2.5-3ubuntu0.2,2.2.5-3ubuntu0.4,MEDIUM,8.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-22827,libexpat1,2.2.5-3ubuntu0.2,2.2.5-3ubuntu0.4,MEDIUM,8.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-23852,libexpat1,2.2.5-3ubuntu0.2,2.2.5-3ubuntu0.4,MEDIUM,9.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-23990,libexpat1,2.2.5-3ubuntu0.2,2.2.5-3ubuntu0.4,MEDIUM,7.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-25313,libexpat1,2.2.5-3ubuntu0.2,2.2.5-3ubuntu0.7,MEDIUM,6.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-25314,libexpat1,2.2.5-3ubuntu0.2,2.2.5-3ubuntu0.7,MEDIUM,7.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-25315,libexpat1,2.2.5-3ubuntu0.2,2.2.5-3ubuntu0.7,MEDIUM,9.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-40674,libexpat1,2.2.5-3ubuntu0.2,2.2.5-3ubuntu0.8,MEDIUM,8.1
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-43680,libexpat1,2.2.5-3ubuntu0.2,2.2.5-3ubuntu0.8,MEDIUM,7.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2021-45960,libexpat1,2.2.5-3ubuntu0.2,2.2.5-3ubuntu0.4,LOW,8.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-1304,libext2fs2,1.44.1-1ubuntu1.3,1.44.1-1ubuntu1.4,MEDIUM,7.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2021-40528,libgcrypt20,1.8.1-4ubuntu1.2,1.8.1-4ubuntu1.3,MEDIUM,5.9
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2021-33560,libgcrypt20,1.8.1-4ubuntu1.2,1.8.1-4ubuntu1.3,LOW,7.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2021-43618,libgmp10,2:6.1.2+dfsg-2,2:6.1.2+dfsg-2ubuntu0.1,LOW,7.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2021-43618,libgmpxx4ldbl,2:6.1.2+dfsg-2,2:6.1.2+dfsg-2ubuntu0.1,LOW,7.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-2509,libgnutls30,3.5.18-1ubuntu1.4,3.5.18-1ubuntu1.6,MEDIUM,7.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2021-4209,libgnutls30,3.5.18-1ubuntu1.4,3.5.18-1ubuntu1.6,LOW,6.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2018-20217,libgssapi-krb5-2,1.16-2ubuntu0.2,1.16-2ubuntu0.3,MEDIUM,5.3
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2021-36222,libgssapi-krb5-2,1.16-2ubuntu0.2,1.16-2ubuntu0.4,MEDIUM,7.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2021-37750,libgssapi-krb5-2,1.16-2ubuntu0.2,1.16-2ubuntu0.4,MEDIUM,6.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-42898,libgssapi-krb5-2,1.16-2ubuntu0.2,1.16-2ubuntu0.3,MEDIUM,8.8
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2018-16860,libgssapi3-heimdal,7.5.0+dfsg-1,7.5.0+dfsg-1ubuntu0.1,MEDIUM,7.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2021-44758,libgssapi3-heimdal,7.5.0+dfsg-1,7.5.0+dfsg-1ubuntu0.3,MEDIUM,7.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-3116,libgssapi3-heimdal,7.5.0+dfsg-1,7.5.0+dfsg-1ubuntu0.1,MEDIUM,7.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-3437,libgssapi3-heimdal,7.5.0+dfsg-1,7.5.0+dfsg-1ubuntu0.3,MEDIUM,6.5
registry.sighup.io/fury/acid/spilo-13:2.0-p7,CVE-2022-41916,libgssapi3-heimdal,7.5.0+dfsg-1,7.5.0+dfsg-1ubuntu0.2,MEDIUM,7.5
